Betweenness Centrality Scores:
Vertex 94: 5778.07
Vertex 95: 4999.99
Vertex 96: 2835.51
Vertex 97: 9199.9
Vertex 98: 1828.28
Vertex 99: 2475.84
Vertex 100: 3740.26
Vertex 101: 4857.74
Vertex 102: 3759.12
Vertex 103: 1883.15
Vertex 104: 3020.66
Vertex 105: 3998.72
Vertex 106: 3926.1
Vertex 107: 4255.66
Vertex 108: 4591.26
Vertex 109: 3665.89
Vertex 110: 1727.66
Vertex 111: 1835.47
Vertex 112: 3467.72
Vertex 113: 8597.38
Vertex 114: 11784.5
Vertex 115: 1752.39
Vertex 116: 1457.58
Vertex 117: 4588.66
Vertex 118: 1802
Vertex 119: 1748.26
Vertex 120: 5283.45
Vertex 121: 3118.34
Vertex 122: 3232.14
Vertex 123: 4614.75
Vertex 124: 4274.11
Vertex 125: 4465.01
Vertex 126: 2108.13
Vertex 127: 3601.96
Vertex 128: 4027.98
Vertex 129: 2217.95
Vertex 130: 2186
Vertex 131: 6989.13
Vertex 132: 1182.67
Vertex 133: 3241.39
Vertex 134: 4030.48
Vertex 135: 7330.06
Vertex 136: 2089.65
Vertex 137: 6692.19
Vertex 138: 3068.57
Vertex 139: 7336.89
Vertex 140: 1436.07
Vertex 141: 3180.59
Vertex 142: 1354.18
Vertex 143: 7751.65
Vertex 144: 3411.13
Vertex 145: 2420.89
Vertex 146: 4301.01
Vertex 147: 7256.99
Vertex 148: 1385.29
Vertex 149: 3215.59
Vertex 150: 520.636
Vertex 151: 2984.77
Vertex 152: 3012.33
Vertex 153: 5453.66
Vertex 154: 3634.99
Vertex 155: 1873.07
Vertex 156: 8986.64
Vertex 157: 4841.87
Vertex 158: 4872.79
Vertex 159: 4550.46
Vertex 160: 7411.93
Vertex 161: 8484.14
Vertex 162: 2542.62
Vertex 163: 2399.18
Vertex 164: 1817.28
Vertex 165: 4947.82
Vertex 166: 2302.94
Vertex 167: 5892.46
Vertex 168: 2854.06
Vertex 169: 5426.52
Vertex 170: 4845.72
Vertex 171: 4784.06
Vertex 172: 1838.27
Vertex 173: 4438.22
Vertex 174: 5154.59
Vertex 175: 4409.84
Vertex 176: 5066.36
Vertex 177: 3991.36
Vertex 178: 3821.27
Vertex 179: 5351.98
Vertex 180: 4708.12
Vertex 181: 4605.61
Vertex 182: 2966.94
Vertex 183: 2036.56
Vertex 184: 4540.64
Vertex 185: 7658.73
Vertex 186: 4160.08
Vertex 187: 1471.13
Vertex 188: 2740.15
Vertex 189: 6551.02
Vertex 190: 3375.12
Vertex 191: 1756.46
Vertex 192: 4587.92
Vertex 193: 3383.02
Vertex 194: 1519.15
Vertex 195: 3546.64
Vertex 196: 7853.29
Vertex 197: 4423
Vertex 198: 2690.68
Vertex 199: 9200.37
Vertex 200: 5347.78
Vertex 201: 3876.22
Vertex 202: 2509.83
Vertex 203: 3262.36
Vertex 204: 5318.56
Vertex 205: 904.062
Vertex 206: 4559.09
Vertex 207: 4380.81
Vertex 208: 6743.22
Vertex 209: 7976.01
Vertex 210: 5237.3
Vertex 211: 3899.84
Vertex 212: 4181.06
Vertex 213: 4354.16
Vertex 214: 2257.01
Vertex 215: 3161.78
Vertex 216: 2218.92
Vertex 217: 4221.73
Vertex 218: 3209.79
Vertex 219: 2278.99
Vertex 220: 2798.5
Vertex 221: 2841.31
Vertex 222: 6737.09
Vertex 223: 3664.18
Vertex 224: 868.884
Vertex 225: 3471.46
Vertex 226: 3629.57
Vertex 227: 5666.7
Vertex 228: 8270.89
Vertex 229: 4075.85
Vertex 230: 3192.32
Vertex 231: 2112.27
Vertex 232: 6512.76
Vertex 233: 4212.9
Vertex 234: 3140.22
Vertex 235: 3996.92
Vertex 236: 3534.19
Vertex 237: 5378.03
Vertex 238: 3888.29
Vertex 239: 2540.68
Vertex 240: 4236.39
Vertex 241: 3696
Vertex 242: 3568.68
Vertex 243: 1745.77
Vertex 244: 8358.1
Vertex 245: 2339.49
Vertex 246: 2431.3
Vertex 247: 5286.34
Vertex 248: 2761.01
Vertex 249: 6572.2
Vertex 250: 5470.39
Vertex 251: 2145.03
Vertex 252: 1752.98
Vertex 253: 2070.32
Vertex 254: 3913.28
Vertex 255: 4989.43
Vertex 256: 1532.63
Vertex 257: 3091.06
Vertex 258: 1161.73
Vertex 259: 4338.61
Vertex 260: 2447.27
Vertex 261: 2131.21
Vertex 262: 2273.72
Vertex 263: 8940.08
Vertex 264: 4195.51
Vertex 265: 1927.87
Vertex 266: 4770.77
Vertex 267: 2556.22
Vertex 268: 4517.47
Vertex 269: 6540.2
Vertex 270: 2210.31
Vertex 271: 3806.09
Vertex 272: 2731.45
Vertex 273: 5057.48
Vertex 274: 3708.8
Vertex 275: 4639.98
Vertex 276: 3398.01
Vertex 277: 2186.04
Vertex 278: 4117.47
Vertex 279: 4021.45
Vertex 280: 2686.19
Vertex 281: 11296.3
Vertex 282: 2134.05
Vertex 283: 5100.05
Vertex 284: 2004.09
Vertex 285: 5526.75
Vertex 286: 3252.53
Vertex 287: 4430.65
Vertex 288: 2720.73
Vertex 289: 3888.03
Vertex 290: 8939.73
Vertex 291: 4620.69
Vertex 292: 2556.34
Vertex 293: 4937.72
Vertex 294: 3270.52
Vertex 295: 5944.56
Vertex 296: 5200.66
Vertex 297: 1300.1
Vertex 298: 9744.25
Vertex 299: 4583.72
Vertex 300: 2020.03
Vertex 301: 2386.99
Vertex 302: 3264.57
Vertex 303: 2598.39
Vertex 304: 5464.64
Vertex 305: 4627.9
Vertex 306: 3143.16
Vertex 307: 4181.44
Vertex 308: 2255.69
Vertex 309: 3333.74
Vertex 310: 5007.25
Vertex 311: 5022.28
Vertex 312: 4008.63
Vertex 313: 1806.88
Vertex 314: 949.515
Vertex 315: 4468.16
Vertex 316: 3510.71
Vertex 317: 2136.3
Vertex 318: 4358.19
Vertex 319: 3715.59
Vertex 320: 2603.62
Vertex 321: 3403.31
Vertex 322: 9835.82
Vertex 323: 6393.31
Vertex 324: 6001.59
Vertex 325: 3506.82
Vertex 326: 4426.48
Vertex 327: 1790.57
Vertex 328: 3796.57
Vertex 329: 5718.02
Vertex 330: 2100.58
Vertex 331: 1733.56
Vertex 332: 1569.57
Vertex 333: 1467.86
Vertex 334: 3312.34
Vertex 335: 2463.8
Vertex 336: 6209.74
Vertex 337: 3551.73
Vertex 338: 664.89
Vertex 339: 8289.6
Vertex 340: 8175.41
Vertex 341: 3568.8
Vertex 342: 5168.48
Vertex 343: 4810.52
Vertex 344: 1136.48
Vertex 345: 4824.44
Vertex 346: 916.073
Vertex 347: 4051.35
Vertex 348: 3283.03
Vertex 349: 8555.75
Vertex 350: 1956.78
Vertex 351: 3091.26
Vertex 352: 1931.15
Vertex 353: 3877.69
Vertex 354: 4488.55
Vertex 355: 1771.66
Vertex 356: 1575.25
Vertex 357: 1570.86
Vertex 358: 2045.99
Vertex 359: 1633.43
Vertex 360: 6009.98
Vertex 361: 4751.94
Vertex 362: 6319.58
Vertex 363: 6504.4
Vertex 364: 2316.79
Vertex 365: 2930.61
Vertex 366: 3314.42
Vertex 367: 2448.63
Vertex 368: 3400.94
Vertex 369: 1986.56
Vertex 370: 3840.82
Vertex 371: 2924.63
Vertex 372: 5582.08
Vertex 373: 6969.92
Vertex 374: 3727.63
Vertex 375: 5891.85
Vertex 376: 3272.46
Vertex 377: 4620.27
Vertex 378: 2895.01
Vertex 379: 2118.27
Vertex 380: 4295.35
Vertex 381: 5931.31
Vertex 382: 3599.36
Vertex 383: 5456.12
Vertex 384: 3300.6
Vertex 385: 1587.31
Vertex 386: 2494.69
Vertex 387: 3713.98
Vertex 388: 4472.34
Vertex 389: 3483.71
Vertex 390: 4872.84
Vertex 391: 10270.3
Vertex 392: 1732.42
Vertex 393: 3007.52
Vertex 394: 3371.31
Vertex 395: 4835.39
Vertex 396: 1681.76
Vertex 397: 5291.02
Vertex 398: 2629.35
Vertex 399: 911.014
Vertex 400: 2431.74
Vertex 401: 1886.9
Vertex 402: 6605.41
Vertex 403: 809.356
Vertex 404: 3460.25
Vertex 405: 1105
Vertex 406: 5177.77
Vertex 407: 3079.14
Vertex 408: 5130.01
Vertex 409: 2919.33
Vertex 410: 4013.96
Vertex 411: 5109.14
Vertex 412: 3195.21
Vertex 413: 1866.67
Vertex 414: 1089.86
Vertex 415: 3303.63
Vertex 416: 2313.01
Vertex 417: 7653.25
Vertex 418: 5566.72
Vertex 419: 5254.06
Vertex 420: 2426.95
Vertex 421: 2124.31
Vertex 422: 3468.15
Vertex 423: 11275.4
Vertex 424: 4833.5
Vertex 425: 3351.95
Vertex 426: 7207.01
Vertex 427: 2488.34
Vertex 428: 2467.43
Vertex 429: 6395.65
Vertex 430: 7125.24
Vertex 431: 4291.15
Vertex 432: 2168.69
Vertex 433: 2096.39
Vertex 434: 2605.78
Vertex 435: 2143.04
Vertex 436: 3599.36
Vertex 437: 2951.13
Vertex 438: 2783.15
Vertex 439: 4317.36
Vertex 440: 4915.62
Vertex 441: 5124.16
Vertex 442: 8848.35
Vertex 443: 6031.8
Vertex 444: 5230.37
Vertex 445: 5570.75
Vertex 446: 1550.71
Vertex 447: 4743.37
Vertex 448: 4416.48
Vertex 449: 874.648
Vertex 450: 6304.54
Vertex 451: 1552.26
Vertex 452: 9233.97
Vertex 453: 2768.2
Vertex 454: 4798.15
Vertex 455: 9321.96
Vertex 456: 1809.33
Vertex 457: 1107.42
Vertex 458: 4313.58
Vertex 459: 2894.63
Vertex 460: 10515.7
Vertex 461: 8496.6
Vertex 462: 1790.63
Vertex 463: 3900.29
Vertex 464: 3423.54
Vertex 465: 3053.84
Vertex 466: 5805.34
Vertex 467: 3189.87
Vertex 468: 3516.99
Vertex 469: 3251.62
Vertex 470: 4720.49
Vertex 471: 3629.76
Vertex 472: 4748.88
Vertex 473: 4457.23
Vertex 474: 4345.89
Vertex 475: 3795.97
Vertex 476: 3336.13
Vertex 477: 7447.57
Vertex 478: 2537.48
Vertex 479: 5107.68
Vertex 480: 5311.99
Vertex 481: 3028.41
Vertex 482: 8827.22
Vertex 483: 2087.28
Vertex 484: 4473.28
Vertex 485: 4382.71
Vertex 486: 3158.22
Vertex 487: 2295.85
Vertex 488: 7774.84
Vertex 489: 2453.43
Vertex 490: 2851.96
Vertex 491: 2441.13
Vertex 492: 10121.1
Vertex 493: 1828.45
Vertex 494: 1098.68
Vertex 495: 2754.08
Vertex 496: 3400.34
Vertex 497: 9542.02
Vertex 498: 5287.91
Vertex 499: 4288.79
Vertex 500: 3998.33
Vertex 501: 2099.1
Vertex 502: 7077.22
Vertex 503: 2485.71
Vertex 504: 4395.09
Vertex 505: 2044.52
Vertex 506: 3638.27
Vertex 507: 6031.68
Vertex 508: 5831.8
Vertex 509: 5717.8
Vertex 510: 3023.75
Vertex 511: 3684.55
Vertex 512: 4434.25
Vertex 513: 1811.3
Vertex 514: 2465.96
Vertex 515: 1700.16
Vertex 516: 5641.39
Vertex 517: 3072.87
Vertex 518: 2714.29
Vertex 519: 8598.2
Vertex 520: 5547.59
Vertex 521: 3079.07
Vertex 522: 5752.82
Vertex 523: 2050.67
Vertex 524: 7582.65
Vertex 525: 7773.74
Vertex 526: 7546.12
Vertex 527: 4898.5
Vertex 528: 5252.07
Vertex 529: 2097.7
Vertex 530: 1490.14
Vertex 531: 3068.17
Vertex 532: 4046.36
Vertex 533: 5947.55
Vertex 534: 660.603
Vertex 535: 3929.07
Vertex 536: 2678.74
Vertex 537: 4680.67
Vertex 538: 2038.42
Vertex 539: 10452.3
Vertex 540: 2756.24
Vertex 541: 6609.97
Vertex 542: 3349.01
Vertex 543: 2239.77
Vertex 544: 3389.89
Vertex 545: 3001.18
Vertex 546: 5592.36
Vertex 547: 1485.02
Vertex 548: 3171.73
Vertex 549: 2157.1
Vertex 550: 1676.2
Vertex 551: 4254.41
Vertex 552: 709.003
Vertex 553: 2409.35
Vertex 554: 2559.05
Vertex 555: 9302.84
Vertex 556: 2459.88
Vertex 557: 5038.07
Vertex 558: 2674.91
Vertex 559: 3757.36
Vertex 560: 6932.75
Vertex 561: 3217.76
Vertex 562: 5122.59
Vertex 563: 4601.84
Vertex 564: 1251.55
Vertex 565: 3985.05
Vertex 566: 2879.6
Vertex 567: 3846.72
Vertex 568: 4872.13
Vertex 569: 4876.97
Vertex 570: 5861.82
Vertex 571: 2694.75
Vertex 572: 7601.51
Vertex 573: 3278.82
Vertex 574: 3681.84
Vertex 575: 4488.53
Vertex 576: 4008.06
Vertex 577: 3522.34
Vertex 578: 4555.5
Vertex 579: 5098.58
Vertex 580: 4470.13
Vertex 581: 4589.02
Vertex 582: 3228.08
Vertex 583: 3012.02
Vertex 584: 2785.03
Vertex 585: 3011.41
Vertex 586: 15112.3
Vertex 587: 3300.22
Vertex 588: 2781.27
Vertex 589: 3483.24
Vertex 590: 6982.08
Vertex 591: 4322.66
Vertex 592: 5908.03
Vertex 593: 9314.15
Vertex 594: 2702.3
Vertex 595: 5383.28
Vertex 596: 5497.15
Vertex 597: 5586.1
Vertex 598: 1952.62
Vertex 599: 5798.92
Vertex 600: 2108.91
Vertex 601: 6399.52
Vertex 602: 4014.07
Vertex 603: 1805.94
Vertex 604: 5359.12
Vertex 605: 7632.14
Vertex 606: 7331.41
Vertex 607: 4036.05
Vertex 608: 4791.2
Vertex 609: 5028.77
Vertex 610: 1714.99
Vertex 611: 2043.79
Vertex 612: 1255.89
Vertex 613: 1876.14
Vertex 614: 6482.36
Vertex 615: 4939.35
Vertex 616: 4463.26
Vertex 617: 3889.76
Vertex 618: 1716.57
Vertex 619: 4533.26
Vertex 620: 2449.9
Vertex 621: 3351.59
Vertex 622: 5252.9
Vertex 623: 2428.82
Vertex 624: 1984.2
Vertex 625: 2167.14
Vertex 626: 3775.45
Vertex 627: 6092.35
Vertex 628: 3741.24
Vertex 629: 3761.73
Vertex 630: 3272.8
Vertex 631: 5278.84
Vertex 632: 3224.97
Vertex 633: 2133.75
Vertex 634: 3471.69
Vertex 635: 3338.84
Vertex 636: 1143.16
Vertex 637: 3546.44
Vertex 638: 3293.5
Vertex 639: 1929.11
Vertex 640: 2991.64
Vertex 641: 3939.48
Vertex 642: 4518.46
Vertex 643: 2846.88
Vertex 644: 5083.32
Vertex 645: 5203.74
Vertex 646: 1215.32
Vertex 647: 6338.79
Vertex 648: 3706.21
Vertex 649: 5815.07
Vertex 650: 3955.94
Vertex 651: 2755.96
Vertex 652: 5175.07
Vertex 653: 710.417
Vertex 654: 6172.34
Vertex 655: 987.971
Vertex 656: 3737.45
Vertex 657: 7807.68
Vertex 658: 2954.69
Vertex 659: 6496.72
Vertex 660: 3714.86
Vertex 661: 4714.84
Vertex 662: 6981.23
Vertex 663: 2198.19
Vertex 664: 6339.79
Vertex 665: 6347.6
Vertex 666: 5112.29
Vertex 667: 2299.75
Vertex 668: 2808.41
Vertex 669: 8738.02
Vertex 670: 3022.56
Vertex 671: 2837.34
Vertex 672: 9378.32
Vertex 673: 3736.71
Vertex 674: 4055.94
Vertex 675: 4893.62
Vertex 676: 6190.88
Vertex 677: 2085.19
Vertex 678: 4216.64
Vertex 679: 4045.21
Vertex 680: 5335.07
Vertex 681: 4319.06
Vertex 682: 10004.1
Vertex 683: 5594.46
Vertex 684: 3266.53
Vertex 685: 3139.94
Vertex 686: 4561.78
Vertex 687: 1145.05
Vertex 688: 3375.62
Vertex 689: 1666.96
Vertex 690: 2148.23
Vertex 691: 5076.21
Vertex 692: 2443.25
Vertex 693: 4405.51
Vertex 694: 9350.36
Vertex 695: 5020.09
Vertex 696: 2570.01
Vertex 697: 1194.54
Vertex 698: 3209.67
Vertex 699: 4853.91
Vertex 700: 6399.01
Vertex 701: 3500.04
Vertex 702: 4379.08
Vertex 703: 9140.22
Vertex 704: 2135.41
Vertex 705: 3981.85
Vertex 706: 3723.41
Vertex 707: 1453.64
Vertex 708: 2830.52
Vertex 709: 7554.47
Vertex 710: 1569.74
Vertex 711: 3723.15
Vertex 712: 3153.47
Vertex 713: 1720.21
Vertex 714: 5646.31
Vertex 715: 6769.36
Vertex 716: 2901.58
Vertex 717: 2252.31
Vertex 718: 3293.98
Vertex 719: 4703.98
Vertex 720: 5945.14
Vertex 721: 6205.05
Vertex 722: 3312.06
Vertex 723: 3338.84
Vertex 724: 3468.18
Vertex 725: 4052.74
Vertex 726: 2115.04
Vertex 727: 2041.22
Vertex 728: 1102.3
Vertex 729: 10409.1
Vertex 730: 5824.31
Vertex 731: 3904.75
Vertex 732: 4465.61
Vertex 733: 3610.17
Vertex 734: 1465.68
Vertex 735: 2781.06
Vertex 736: 1799.99
Vertex 737: 5453.92
Vertex 738: 3069.51
Vertex 739: 6198.17
Vertex 740: 4166.31
Vertex 741: 6148.22
Vertex 742: 6752.38
Vertex 743: 6777.63
Vertex 744: 3030.35
Vertex 745: 5226.31
Vertex 746: 2918.18
Vertex 747: 3889.67
Vertex 748: 2846.28
Vertex 749: 3352.99
Vertex 750: 1771.54
Vertex 751: 7726.43
Vertex 752: 6816.65
Vertex 753: 3886.92
Vertex 754: 2961.7
Vertex 755: 3671.66
Vertex 756: 6199.13
Vertex 757: 1814.82
Vertex 758: 4232.96
Vertex 759: 4831.86
Vertex 760: 4806.46
Vertex 761: 5017.38
Vertex 762: 5248.91
Vertex 763: 5315.06
Vertex 764: 4052.8
Vertex 765: 5900.45
Vertex 766: 6333.49
Vertex 767: 5162.97
Vertex 768: 1587.22
Vertex 769: 3587.3
Vertex 770: 5023.17
Vertex 771: 2805.35
Vertex 772: 4577.77
Vertex 773: 2476.94
Vertex 774: 7239.05
Vertex 775: 3988.47
Vertex 776: 5605.67
Vertex 777: 2590.77
Vertex 778: 5732.91
Vertex 779: 3960.58
Vertex 780: 4550.97
Vertex 781: 2416.96
Vertex 782: 3019.95
Vertex 783: 7716.32
Vertex 784: 3898.58
Vertex 785: 3926.88
Vertex 786: 5033.23
Vertex 787: 6116.97
Vertex 788: 3692.24
Vertex 789: 3472.64
Vertex 790: 4152.02
Vertex 791: 5140.85
Vertex 792: 3140.1
Vertex 793: 3763.96
Vertex 794: 4215.6
Vertex 795: 3068.17
Vertex 796: 6157.01
Vertex 797: 6821.87
Vertex 798: 3016.2
Vertex 799: 3706.11
Vertex 800: 1859.74
Vertex 801: 2634.55
Vertex 802: 3147.19
Vertex 803: 3694.4
Vertex 804: 3503.49
Vertex 805: 7221.03
Vertex 806: 3768.4
Vertex 807: 2617.92
Vertex 808: 3885.6
Vertex 809: 3320.86
Vertex 810: 1131.28
Vertex 811: 2569.64
Vertex 812: 3540.98
Vertex 813: 2185.39
Vertex 814: 5843.92
Vertex 815: 3784.08
Vertex 816: 4305.87
Vertex 817: 4603.29
Vertex 818: 2037.75
Vertex 819: 4452.63
Vertex 820: 6414.53
Vertex 821: 3007.98
Vertex 822: 3449.43
Vertex 823: 4535.63
Vertex 824: 1253.61
Vertex 825: 2371.62
Vertex 826: 5764.46
Vertex 827: 4625.69
Vertex 828: 6080.5
Vertex 829: 4533.44
Vertex 830: 4019.97
Vertex 831: 949.375
Vertex 832: 9737.27
Vertex 833: 2050.37
Vertex 834: 4208.44
Vertex 835: 5218.63
Vertex 836: 2994.46
Vertex 837: 2724.1
Vertex 838: 1989.78
Vertex 839: 1635.84
Vertex 840: 2433.57
Vertex 841: 3302.71
Vertex 842: 4750.71
Vertex 843: 4152.82
Vertex 844: 4149.57
Vertex 845: 5285.5
Vertex 846: 3211.42
Vertex 847: 2112.14
Vertex 848: 1277.61
Vertex 849: 2348.34
Vertex 850: 4378.07
Vertex 851: 7425.38
Vertex 852: 4878.87
Vertex 853: 2582.96
Vertex 854: 5864.69
Vertex 855: 5881.81
Vertex 856: 1511.85
Vertex 857: 1188.8
Vertex 858: 3477.13
Vertex 859: 2504
Vertex 860: 8717.24
Vertex 861: 2623.55
Vertex 862: 4674.64
Vertex 863: 3385.7
Vertex 864: 2037.42
Vertex 865: 5061.81
Vertex 866: 4340.7
Vertex 867: 3401.09
Vertex 868: 5839.97
Vertex 869: 8081.25
Vertex 870: 3008.54
Vertex 871: 6577.86
Vertex 872: 6017.25
Vertex 873: 2603.87
Vertex 874: 3320.23
Vertex 875: 6490.12
Vertex 876: 3850.4
Vertex 877: 6289.98
Vertex 878: 2387.91
Vertex 879: 1129.79
Vertex 880: 1735.73
Vertex 881: 3990.62
Vertex 882: 5100.08
Vertex 883: 3600.59
Vertex 884: 2090.24
Vertex 885: 1179.2
Vertex 886: 3681
Vertex 887: 2004.56
Vertex 888: 1178.57
Vertex 889: 2066.16
Vertex 890: 2934.63
Vertex 891: 5948.36
Vertex 892: 3554.83
Vertex 893: 2696.75
Vertex 894: 4822.41
Vertex 895: 3542.66
Vertex 896: 5685.81
Vertex 897: 5075.7
Vertex 898: 9306.52
Vertex 899: 2093.54
Vertex 900: 5604.03
Vertex 901: 4092.07
Vertex 902: 6157.91
Vertex 903: 4384.01
Vertex 904: 3101.11
Vertex 905: 4949.42
Vertex 906: 1995.47
Vertex 907: 2209.91
Vertex 908: 3237.02
Vertex 909: 2132.41
Vertex 910: 1762.58
Vertex 911: 4159.28
Vertex 912: 2640.11
Vertex 913: 3725.89
Vertex 914: 2649.74
Vertex 915: 1519.62
Vertex 916: 2522.38
Vertex 917: 6369.59
Vertex 918: 7874.26
Vertex 919: 1240.53
Vertex 920: 445.63
Vertex 921: 5253.42
Vertex 922: 2770.29
Vertex 923: 4458.22
Vertex 924: 2916.25
Vertex 925: 2647.77
Vertex 926: 5100.27
Vertex 927: 6172.25
Vertex 928: 4394.48
Vertex 929: 4899.2
Vertex 930: 4706.56
Vertex 931: 2093.49
Vertex 932: 3118.02
Vertex 933: 4899.14
Vertex 934: 6032.46
Vertex 935: 2312.73
Vertex 936: 4637.85
Vertex 937: 5402.46
Vertex 938: 2801.28
Vertex 939: 3222.18
Vertex 940: 1526.81
Vertex 941: 4267.89
Vertex 942: 3893.96
Vertex 943: 2301.87
Vertex 944: 3628.23
Vertex 945: 4405.79
Vertex 946: 1343.28
Vertex 947: 1386.82
Vertex 948: 3011
Vertex 949: 2001.73
Vertex 950: 3124.46
Vertex 951: 2349.8
Vertex 952: 3250.04
Vertex 953: 5134.08
Vertex 954: 2574.33
Vertex 955: 3164.99
Vertex 956: 6536.72
Vertex 957: 5609.58
Vertex 958: 4480.79
Vertex 959: 5919.18
Vertex 960: 3609.5
Vertex 961: 4867.24
Vertex 962: 9807.71
Vertex 963: 2966.18
Vertex 964: 3976.4
Vertex 965: 2865.24
Vertex 966: 3279.51
Vertex 967: 3129.43
Vertex 968: 4229.93
Vertex 969: 5335.35
Vertex 970: 7205.98
Vertex 971: 4153.1
Vertex 972: 1395.48
Vertex 973: 4168.19
Vertex 974: 5573.55
Vertex 975: 2602.3
Vertex 976: 3634.04
Vertex 977: 4874.26
Vertex 978: 4601.84
Vertex 979: 1756.74
Vertex 980: 4562.71
Vertex 981: 4926.73
Vertex 982: 4416.87
Vertex 983: 3684.9
Vertex 984: 7130.24
Vertex 985: 2007.74
Vertex 986: 2723.24
Vertex 987: 2117.25
Vertex 988: 5163.05
Vertex 989: 5647.73
Vertex 990: 2647.05
Vertex 991: 3482.21
Vertex 992: 6768.57
Vertex 993: 9004.38
Vertex 994: 8127.34
Vertex 995: 5338.46
Vertex 996: 4199.9
Vertex 997: 2685.07
Vertex 998: 3786.79
Vertex 999: 2200.53
Vertex 1000: 6366.3
Vertex 1001: 5862.11
Vertex 1002: 1026.77
Vertex 1003: 5576.81
Vertex 1004: 11224.5
Vertex 1005: 4630.17
Vertex 1006: 4600.73
Vertex 1007: 6183.39
Vertex 1008: 5275.5
Vertex 1009: 3264.93
Vertex 1010: 2071.78
Vertex 1011: 3524.02
Vertex 1012: 6414.14
Vertex 1013: 6191.06
Vertex 1014: 4135.08
Vertex 1015: 3065.05
Vertex 1016: 5512.57
Vertex 1017: 7389.41
Vertex 1018: 5098.49
Vertex 1019: 3227.59
Vertex 1020: 2658.63
Vertex 1021: 1243.04
Vertex 1022: 2112.85
Vertex 1023: 2656.69
Vertex 1024: 4503.48
Vertex 1025: 2410.57
Vertex 1026: 2049.17
Vertex 1027: 2524.52
Vertex 1028: 3925.37
Vertex 1029: 1842.25
Vertex 1030: 6536.2
Vertex 1031: 2365.89
Vertex 1032: 4632.95
Vertex 1033: 4728.71
Vertex 1034: 5781.08
Vertex 1035: 3841.72
Vertex 1036: 1220.21
Vertex 1037: 3521.23
Vertex 1038: 643.651
Vertex 1039: 1429.79
Vertex 1040: 8583.86
Vertex 1041: 4195.77
Vertex 1042: 5574.81
Vertex 1043: 4901.37
Vertex 1044: 1125.94
Vertex 1045: 6092.7
Vertex 1046: 5415.72
Vertex 1047: 3940.32
Vertex 1048: 2266.57
Vertex 1049: 4100.48
Vertex 1050: 685.202
Vertex 1051: 10383.8
Vertex 1052: 3536.98
Vertex 1053: 8538.26
Vertex 1054: 2054.35
Vertex 1055: 3732.03
Vertex 1056: 3164.75
Vertex 1057: 7157.41
Vertex 1058: 3886.16
Vertex 1059: 4325.42
Vertex 1060: 2122.72
Vertex 1061: 2251.21
Vertex 1062: 733.508
Vertex 1063: 3881.25
Vertex 1064: 9095.43
Vertex 1065: 1882.26
Vertex 1066: 2391.73
Vertex 1067: 4950.89
Vertex 1068: 5656.3
Vertex 1069: 2383.41
Vertex 1070: 4180.24
